X,Y,X,time,event,value,hdop,heading,m.s,collar_ID,collar,date,hms,month,day,lon,lat,chuck,hour
331487.67545454,6165448.13169539,1,2019-05-20 15:00:02,InclusionBorder_m,-255.97,0.5,149.84,0.21,ac138,ac138,2019-05-20,15:00:02,5,20,331487.67545454,6165448.13169539,2,15
331487.220488883,6165447.93855678,2,2019-05-20 15:00:03,InclusionBorder_m,-255.69,0.5,225.19,0.14,ac138,ac138,2019-05-20,15:00:03,5,20,331487.220488883,6165447.93855678,2,15
331486.768898636,6165447.5604203,3,2019-05-20 15:00:04,InclusionBorder_m,-255.52,0.5,177.92,0.23,ac138,ac138,2019-05-20,15:00:04,5,20,331486.768898636,6165447.5604203,2,15
331486.317306402,6165447.18239472,4,2019-05-20 15:00:04,InclusionBorder_m,-255.34,0.5,114.99,0.2,ac138,ac138,2019-05-20,15:00:04,5,20,331486.317306402,6165447.18239472,2,15
331486.015152375,6165446.99193324,5,2019-05-20 15:00:04,InclusionBorder_m,-255.19,0.5,139.26,0.2,ac138,ac138,2019-05-20,15:00:04,5,20,331486.015152375,6165446.99193324,2,15
331485.712996339,6165446.80158267,6,2019-05-20 15:00:05,InclusionBorder_m,-255.03,0.5,296.56,0,ac138,ac138,2019-05-20,15:00:05,5,20,331485.712996339,6165446.80158267,2,15
331485.407377274,6165446.79600643,7,2019-05-20 15:00:05,InclusionBorder_m,-254.78,0.5,235.02,0.2,ac138,ac138,2019-05-20,15:00:05,5,20,331485.407377274,6165446.79600643,2,15
331485.407377274,6165446.79600643,8,2019-05-20 15:00:06,InclusionBorder_m,-254.78,0.5,235.02,0.2,ac138,ac138,2019-05-20,15:00:06,5,20,331485.407377274,6165446.79600643,2,15
331485.407377274,6165446.79600643,9,2019-05-20 15:00:07,InclusionBorder_m,-254.78,0.5,235.02,0.2,ac138,ac138,2019-05-20,15:00:07,5,20,331485.407377274,6165446.79600643,2,15
331485.407377274,6165446.79600643,10,2019-05-20 15:00:08,InclusionBorder_m,-254.78,0.5,235.02,0.2,ac138,ac138,2019-05-20,15:00:08,5,20,331485.407377274,6165446.79600643,2,15
331485.407377274,6165446.79600643,11,2019-05-20 15:00:08,InclusionBorder_m,-254.78,0.5,235.02,0,ac138,ac138,2019-05-20,15:00:08,5,20,331485.407377274,6165446.79600643,2,15
331485.407377274,6165446.79600643,12,2019-05-20 15:00:09,InclusionBorder_m,-254.78,0.5,235.02,0.2,ac138,ac138,2019-05-20,15:00:09,5,20,331485.407377274,6165446.79600643,2,15
331485.407377274,6165446.79600643,13,2019-05-20 15:00:10,InclusionBorder_m,-254.78,0.5,235.02,0,ac138,ac138,2019-05-20,15:00:10,5,20,331485.407377274,6165446.79600643,2,15
331485.407377274,6165446.79600643,14,2019-05-20 15:00:10,InclusionBorder_m,-254.78,0.5,235.02,0.2,ac138,ac138,2019-05-20,15:00:10,5,20,331485.407377274,6165446.79600643,2,15
331485.407377274,6165446.79600643,15,2019-05-20 15:00:11,InclusionBorder_m,-254.78,0.5,235.02,0.2,ac138,ac138,2019-05-20,15:00:11,5,20,331485.407377274,6165446.79600643,2,15
331485.407377274,6165446.79600643,16,2019-05-20 15:00:12,InclusionBorder_m,-254.78,0.5,235.02,0.2,ac138,ac138,2019-05-20,15:00:12,5,20,331485.407377274,6165446.79600643,2,15
331485.407377274,6165446.79600643,17,2019-05-20 15:00:13,InclusionBorder_m,-254.78,0.5,235.02,0.2,ac138,ac138,2019-05-20,15:00:13,5,20,331485.407377274,6165446.79600643,2,15
331485.407377274,6165446.79600643,18,2019-05-20 15:00:14,InclusionBorder_m,-254.78,0.5,235.02,0.2,ac138,ac138,2019-05-20,15:00:14,5,20,331485.407377274,6165446.79600643,2,15
331488.995553907,6165442.79338477,19,2019-05-20 15:00:21,InclusionBorder_m,-259.96,0.5,145.35,0.7,ac138,ac138,2019-05-20,15:00:21,5,20,331488.995553907,6165442.79338477,2,15
331489.304454492,6165442.61407229,20,2019-05-20 15:00:21,InclusionBorder_m,-260.32,0.5,168.58,0.32,ac138,ac138,2019-05-20,15:00:21,5,20,331489.304454492,6165442.61407229,2,15
331489.304454492,6165442.61407229,21,2019-05-20 15:00:22,InclusionBorder_m,-260.32,0.5,107.38,0.18,ac138,ac138,2019-05-20,15:00:22,5,20,331489.304454492,6165442.61407229,2,15
331489.609981751,6165442.61964673,22,2019-05-20 15:00:22,InclusionBorder_m,-260.58,0.5,83.38,0.2,ac138,ac138,2019-05-20,15:00:22,5,20,331489.609981751,6165442.61964673,2,15
331489.609981751,6165442.61964673,23,2019-05-20 15:00:23,InclusionBorder_m,-260.58,0.5,103.1,0.2,ac138,ac138,2019-05-20,15:00:23,5,20,331489.609981751,6165442.61964673,2,15
331489.766162502,6165442.43765876,24,2019-05-20 15:00:23,InclusionBorder_m,-260.81,0.5,102.92,0.2,ac138,ac138,2019-05-20,15:00:23,5,20,331489.766162502,6165442.43765876,2,15
331489.766162502,6165442.43765876,25,2019-05-20 15:00:24,InclusionBorder_m,-260.81,0.5,91.26,0.2,ac138,ac138,2019-05-20,15:00:24,5,20,331489.766162502,6165442.43765876,2,15
331489.766162502,6165442.43765876,26,2019-05-20 15:00:25,InclusionBorder_m,-260.81,0.5,91.26,0,ac138,ac138,2019-05-20,15:00:25,5,20,331489.766162502,6165442.43765876,2,15
331489.766162502,6165442.43765876,27,2019-05-20 15:00:25,InclusionBorder_m,-260.81,0.5,91.26,0.2,ac138,ac138,2019-05-20,15:00:25,5,20,331489.766162502,6165442.43765876,2,15
